url,energy,heating,price,area,rooms,fee,zipcode,construction_year,level
https://www.immowelt.de/expose/2953v5q,na,na,499.900 €,111 m²,3,Prov,13088,1912,1
https://www.immowelt.de/expose/29dgp5q,Gas,Zentralheizung,475.000 €,65 m²,2,prov,10719,1900,ErdgeschossBezugsofort
https://www.immowelt.de/expose/29gmj5q,na,na,339.000 €,63 m²,2,3.57,14193,1909,utzungfrei
https://www.immowelt.de/expose/29vl25q,na,na,250.000 €,"39,50 m²",1,Die ,14057,1900,2
https://www.immowelt.de/expose/29bpy5p,Gas,Zentralheizung,360.000 €,94 m²,3,prov,13595,1956,rtmentWohnungslage1
https://www.immowelt.de/expose/29jdw5p,na,na,399.000 €,"68,36 m²",3,prov,14059,1906,4
https://www.immowelt.de/expose/29fds5p,Fernwärme,Zentralheizung,593.000 €,71 m²,3,Der ,10117,1992,2
https://www.immowelt.de/expose/2v64d4n,Elektro,Etagenheizung,195.000 €,"30,43 m²",1,prov,10585,1974,rtmentWohnungslage2
https://www.immowelt.de/expose/29fwm5p,na,na,510.000 €,76 m²,2,3.57,10249,na,utzungfrei
https://www.immowelt.de/expose/29svm5p,Fernwärme,Zentralheizung,290.000 €,55 m²,2,3.57,10247,na,utzungvermietet
https://www.immowelt.de/expose/29hvm5p,na,na,405.000 €,55 m²,2,3.57,10627,na,utzungfrei
https://www.immowelt.de/expose/29zkk5p,na,na,450.000 €,100 m²,3,3.57,13585,na,utzungvermietet
https://www.immowelt.de/expose/29hlj5m,Fernwärme,Zentralheizung,430.000 €,76 m²,2,prov,12167,1973,1
https://www.immowelt.de/expose/29pkm5l,Gas,"Fußbodenheizung, ",499.000 €,"86,50 m²",3,prov,12555,2016,ErdgeschossBezugab sofort nach Vereinbarung
https://www.immowelt.de/expose/29ud45b,Öl,Zentralheizung,315.000 €,60 m²,"1,5",prov,14129,1932,2
https://www.immowelt.de/expose/29qru5n,Öl,Zentralheizung,325.000 €,67 m²,3,Die ,12105,1956,1
https://www.immowelt.de/expose/29blf5n,Öl,Zentralheizung,215.000 €,52 m²,2,3.57,10825,1954,ErdgeschossBezugnach Vereinbarung
https://www.immowelt.de/expose/29bte5n,na,na,370.000 €,60 m²,2,Prov,10715,1931,4
https://www.immowelt.de/expose/29awc5n,Fernwärme,Zentralheizung,375.000 €,"64,17 m²",3,prov,12055,1926,erzeitige Nutzungfrei
https://www.immowelt.de/expose/29p8b5n,na,na,790.000 €,101 m²,3,3.57,10585,na,na
https://www.immowelt.de/expose/29sb65n,Gas,Zentralheizung,449.000 €,"65,11 m²",2,3.57,10717,1900,Erdgeschoss
https://www.immowelt.de/expose/29aj35n,na,na,449.000 €,95 m²,3,3.57,13581,na,na
https://www.immowelt.de/expose/29kb25n,na,na,260.126 €,"62,79 m²",2,8.96,10245,1010,4
https://www.immowelt.de/expose/29wjx5m,Fernwärme,Fußbodenheizung,447.000 €,"74,62 m²",2,2.5 ,10317,2019,ufpreiszahlung
https://www.immowelt.de/expose/29g5x5m,Gas,Zentralheizung,740.000 €,111 m²,4,3.57,14195,1967,1
https://www.immowelt.de/expose/298bv5m,Gas,Zentralheizung,369.900 €,"59,62 m²",2,Prov,13357,1995,5
https://www.immowelt.de/expose/29fft5m,na,na,363.350 €,"58,02 m²",2,Prov,12161,1910,2
https://www.immowelt.de/expose/299ct5m,Gas,Zentralheizung,324.890 €,63 m²,2,Prov,13357,1995,rtmentWohnungslage2
https://www.immowelt.de/expose/29alx59,Öl,Zentralheizung,210.000 €,35 m²,1,prov,14193,1958,3
https://www.immowelt.de/expose/296vj5m,na,na,301.000 €,51 m²,2,3.57,10439,na,na
https://www.immowelt.de/expose/29asj5m,na,na,205.000 €,45 m²,2,3.57,12105,na,na
https://www.immowelt.de/expose/293nj5m,na,na,459.000 €,70 m²,"2,5",3.57,14199,na,na
https://www.immowelt.de/expose/29vjj5m,na,na,890.000 €,92 m²,2,3.57,10717,na,utzungfrei
https://www.immowelt.de/expose/29jxf5m,Öl,Zentralheizung,479.000 €,60 m²,1,2.5%,10711,1956,thouseWohnungslage10
https://www.immowelt.de/expose/29chc5m,na,na,899.000 €,142 m²,4,3.57,14193,"Garage,",utzungfrei
